indicator,country,country_code,year,value
Electricity_fossil_fuels_percent,Netherlands,NL,2023,47.9584603972637
Electricity_fossil_fuels_percent,Norway,NO,2023,1.09106168694922
Electricity_fossil_fuels_percent,Sweden,SE,2023,0.608695128632754
Electricity_fossil_fuels_percent,United Kingdom,GB,2023,37.0596335278399
Electricity_fossil_fuels_percent,United States,US,2023,59.3003677227757
Electricity_renewables_percent,Australia,AU,2021,26.6608674695166
Electricity_renewables_percent,Canada,CA,2021,67.0163805768966
Electricity_renewables_percent,Denmark,DK,2021,78.958880484115
Electricity_renewables_percent,Finland,FI,2021,52.9302986606029
Electricity_renewables_percent,France,FR,2021,22.8038733642766
Electricity_renewables_percent,Germany,DE,2021,39.8305665158005
Electricity_renewables_percent,Japan,JP,2021,21.1036678422205
Electricity_renewables_percent,Netherlands,NL,2021,33.1271998035524
Electricity_renewables_percent,Norway,NO,2021,99.1038297387318
Electricity_renewables_percent,Sweden,SE,2021,67.3919370423404
Electricity_renewables_percent,United Kingdom,GB,2021,40.1999760236135
Electricity_renewables_percent,United States,US,2021,20.2733089261925
GDP_per_capita_current_USD,Australia,AU,2024,64603.9856308464
GDP_per_capita_current_USD,Canada,CA,2024,54340.3477224733
GDP_per_capita_current_USD,Denmark,DK,2024,71026.4832271897
GDP_per_capita_current_USD,Finland,FI,2024,53149.7671934051
GDP_per_capita_current_USD,France,FR,2024,46103.0840855884
GDP_per_capita_current_USD,Germany,DE,2024,56103.7323182554
GDP_per_capita_current_USD,Japan,JP,2024,32487.0778047567
GDP_per_capita_current_USD,Netherlands,NL,2024,67520.4218956281
GDP_per_capita_current_USD,Norway,NO,2024,86785.4334489176
GDP_per_capita_current_USD,Sweden,SE,2024,57117.4877440616
GDP_per_capita_current_USD,United Kingdom,GB,2024,53246.3676145108
GDP_per_capita_current_USD,United States,US,2024,84534.0407841548
Total_population,Australia,AU,2024,27196812
Total_population,Canada,CA,2024,41288599
Total_population,Denmark,DK,2024,5976992
Total_population,Finland,FI,2024,5619911
Total_population,France,FR,2024,68551653
Total_population,Germany,DE,2024,83516593
Total_population,Japan,JP,2024,123975371
Total_population,Netherlands,NL,2024,17993485
Total_population,Norway,NO,2024,5572279
Total_population,Sweden,SE,2024,10569709
Total_population,United Kingdom,GB,2024,69226000
Total_population,United States,US,2024,340110988
Unemployment_total_percent,Australia,AU,2024,3.942
Unemployment_total_percent,Canada,CA,2024,6.351
Unemployment_total_percent,Denmark,DK,2024,5.358
Unemployment_total_percent,Finland,FI,2024,8.4
Unemployment_total_percent,France,FR,2024,7.4
Unemployment_total_percent,Germany,DE,2024,3.4
Unemployment_total_percent,Japan,JP,2024,2.5
Unemployment_total_percent,Netherlands,NL,2024,3.7
Unemployment_total_percent,Norway,NO,2024,4
Unemployment_total_percent,Sweden,SE,2024,8.4
Unemployment_total_percent,United Kingdom,GB,2024,4.361
Unemployment_total_percent,United States,US,2024,4.022
Inflation_consumer_prices_annual_percent,Australia,AU,2024,3.16656665428797
Inflation_consumer_prices_annual_percent,Canada,CA,2024,2.38158383281173
Inflation_consumer_prices_annual_percent,Denmark,DK,2024,1.37220049768925
Inflation_consumer_prices_annual_percent,Finland,FI,2024,1.56568906231615
Inflation_consumer_prices_annual_percent,France,FR,2024,1.99904942291462
Inflation_consumer_prices_annual_percent,Germany,DE,2024,2.2564981433876
Inflation_consumer_prices_annual_percent,Japan,JP,2024,2.73853681635241
